,route_id,stop_id,stop_name
280,105C,24,Kumaran Kottam - Trichy road
281,105C,25,Ranganathapuram - Sulur
282,105C,26,Sulur
283,105C,27,RVS - Sulur
284,105C,28,Kangeyampalayam
285,105C,29,Sulur Aero
286,105C,30,Karanampettai




287,108A,1,Gandhipuram
288,108A,2,Womens Polytechnic
289,108A,3,Mani School/GKNM Hospl
290,108A,4,Lakshmi Mills Junction
291,108A,5,Nava India - Avinashi rd
292,108A,6,Suguna Kalyana Mandapam
293,108A,7,PSG Tech - Peelamedu
294,108A,8,PSG Krishnammal
295,108A,9,Varatharaja Mills
296,108A,10,Hope College
297,108A,11,Manis Theatre
298,108A,12,Ramanuja Nagar
299,108A,13,LIONs - Singanallur
300,108A,14,ESI - Singanallur
301,108A,15,Varatharajapuram
302,108A,16,Singanallur
303,108A,17,Vasantha mills - Singanallur
304,108A,18,Jai Shanthi - Singanallur
305,108A,19,Ondipudur
306,108A,20,Irugur Pirivu
307,108A,21,Sinthamanipudur
308,108A,22,Pappampatti Pirivu
309,108A,23,Pallapalayam
310,108A,24,Pappampatti
311,108A,25,Kallapalayam - Pappampatti



312,109,1,Saibaba Kovil
313,109,2,Sivanandha Colony
314,109,3,Power House
315,109,4,Karpagam Complex - 100ft
316,109,5,Kalyan - 100ft rd
317,109,6,100 feet/GP
318,109,7,Gandhipuram
319,109,8,Womens Polytechnic
320,109,9,Mani School/GKNM Hospl
321,109,10,Lakshmi Mills Junction
322,109,11,Nava India - Avinashi rd
323,109,12,Suguna Kalyana Mandapam
324,109,13,PSG Tech - Peelamedu
325,109,14,PSG Krishnammal
326,109,15,Varatharaja Mills
327,109,16,Hope College
328,109,17,Manis Theatre
329,109,18,Ramanuja Nagar
330,109,19,LIONs - Singanallur
331,109,20,ESI - Singanallur
332,109,21,Varatharajapuram
333,109,22,Singanallur
334,109,23,Vasantha mills - Singanallur
335,109,24,Jai Shanthi - Singanallur
336,109,25,Ondipudur
337,109,26,Irugur Pirivu
338,109,27,Irugur

339,10A,1,Ukkadam
340,10A,2,BigBazaar
341,10A,3,Town Hall
342,10A,4,Government Hospital
343,10A,5,Railway Station
344,10A,6,Collectorate/DSP
345,10A,7,Uppilipalayam - Avinashi rd
346,10A,8,VOC Park
347,10A,9,Anna Statue - Avinashi rd
348,10A,10,Residency
349,10A,11,Lakshmi Mills Junction
350,10A,12,Nava India - Avinashi rd
351,10A,13,Suguna Kalyana Mandapam
352,10A,14,PSG Tech - Peelamedu
353,10A,15,PSG Krishnammal
354,10A,16,Varatharaja Mills
355,10A,17,Hope College
356,10A,18,CMC - Avinashi rd
357,10A,19,CIT - CODISSIA
358,10A,20,Polytechnic - Avinashi rd
359,10A,21,PSG Arts
360,10A,22,SITRA/Airport
361,10A,23,KMCH - Avinashi rd
362,10A,24,Goldwins
363,10A,25,Thottipalayam Pirivu
364,10A,26,Rangasamy Goundan pudur
365,10A,27,Chinniyampalayam
366,10A,28,Neelambur
367,10A,29,Arasur - Avinashi road
368,10A,30,Kaniyur
369,10A,31,Karumathampatti
370,10A,32,Somanur



371,10B,1,Saibaba Kovil
372,10B,2,Murugan mills - MTP rd
373,10B,3,Muthu theatre - MTP rd
374,10B,4,TVS - MTP rd
375,10B,5,Power House
376,10B,6,Karpagam Complex - 100ft
377,10B,7,Kalyan - 100ft rd
378,10B,8,100 feet/GP
379,10B,9,Gandhipuram
380,10B,10,Womens Polytechnic
381,10B,11,Mani School/GKNM Hospl
382,10B,12,Lakshmi Mills Junction
383,10B,13,Nava India - Avinashi rd
384,10B,14,Suguna Kalyana Mandapam
385,10B,15,PSG Tech - Peelamedu
386,10B,16,PSG Krishnammal
387,10B,17,Varatharaja Mills
388,10B,18,Hope College
389,10B,19,CMC - Avinashi rd
390,10B,20,CIT - CODISSIA
391,10B,21,Polytechnic - Avinashi rd
392,10B,22,PSG Arts
393,10B,23,SITRA/Airport
394,10B,24,Mahendra - Nehru nagar
395,10B,25,Nehru nagar
396,10B,26,Sharp Industries
397,10B,27,N.G.P Institutes
398,10B,28,Kalappatti

399,10C,1,Edayarpalayam - Thadagam rd
400,10C,2,Sivaji Colony - Thadagam rd
401,10C,3,Kovilmedu
402,10C,4,Velandipalayam
403,10C,5,Venkittapuram
404,10C,6,Saibaba Colony
405,10C,7,Puliamaram stop - NSR rd
406,10C,8,Saibaba Kovil
407,10C,9,Murugan mills - MTP rd
408,10C,10,Muthu theatre - MTP rd
409,10C,11,TVS - MTP rd
410,10C,12,Power House
411,10C,13,Karpagam Complex - 100ft
412,10C,14,Kalyan - 100ft rd
413,10C,15,100 feet/GP
414,10C,16,Gandhipuram
415,10C,17,Womens Polytechnic
416,10C,18,Mani School/GKNM Hospl
417,10C,19,Lakshmi Mills Junction
418,10C,20,Nava India - Avinashi rd
419,10C,21,Suguna Kalyana Mandapam
420,10C,22,PSG Tech - Peelamedu
421,10C,23,PSG Krishnammal
422,10C,24,Varatharaja Mills
423,10C,25,Hope College
424,10C,26,CMC - Avinashi rd
425,10C,27,CIT - CODISSIA
426,10C,28,Polytechnic - Avinashi rd
427,10C,29,PSG Arts
428,10C,30,SITRA/Airport
429,10C,31,KMCH - Avinashi rd
430,10C,32,Goldwins
431,10C,33,Thottipalayam Pirivu
432,10C,34,Rangasamy Goundan pudur
433,10C,35,Chinniyampalayam




434,11,1,Railway Station
435,11,2,Government Hospital
436,11,3,Town Hall
437,11,4,Sukravarpettai
438,11,5,Marakkadai
439,11,6,Flower Market
440,11,7,North Coimbatore/Vadakovai
441,11,8,TVS - MTP rd
442,11,9,Muthu theatre - MTP rd
443,11,10,Murugan mills - MTP rd
444,11,11,Saibaba Kovil
445,11,12,Puliamaram stop - NSR rd
446,11,13,Saibaba Colony
447,11,14,Venkittapuram
448,11,15,Velandipalayam
449,11,16,Kovilmedu
450,11,17,Sivaji Colony - Thadagam rd
451,11,18,Edayarpalayam - Thadagam rd
452,11,19,TVS Nagar - Thadagam rd
453,11,20,KNG Pudur pirivu
454,11,21,Kanuvai




455,111,1,Gandhipuram
456,111,2,100 feet/GP
457,111,3,Omni bus stand
458,111,4,Lakshmi puram - Sathy rd
459,111,5,Textool - Sathy rd
460,111,6,Ganapathy
461,111,7,CMS - Ganapathy
462,111,8,Athipalayam Pirivu - Sathy rd
463,111,9,Bharathi nagar - Sathy rd
464,111,10,Ramakrishna mill - Sathy rd
465,111,11,Sivanandha mill - Sathy rd
466,111,12,SRP mill - Sathy rd
467,111,13,Amman kovil - Saravanampatti
468,111,14,Kalappatti Pirivu - Sathy rd
469,111,15,Saravanampatti
470,111,16,KGISL - Saravanampatti
471,111,17,KCT - Saravanampatti
472,111,18,Vellakinar
473,111,19,Cheran Colony
474,111,20,Thudiyalur
475,111,21,Vellakinar Pirivu - MTP rd
476,111,22,GN mills - MTP rd
477,111,23,ITI - MTP rd
478,111,24,Cheran Nagar - MTP rd
479,111,25,Kavundampalayam
480,111,26,Housing unit - Kovundampalayam
481,111,27,Eru Company - MTP rd
482,111,28,Saibaba Kovil
483,111,29,Sivanandha Colony
484,111,30,Power House
485,111,31,Karpagam Complex - 100ft
486,111,32,Kalyan - 100ft rd



487,111A,1,Gandhipuram
488,111A,2,100 feet/GP
489,111A,3,Kalyan - 100ft rd
490,111A,4,Karpagam Complex - 100ft
491,111A,5,Power House
492,111A,6,Sivanandha Colony
493,111A,7,Saibaba Kovil
494,111A,8,Eru Company - MTP rd
495,111A,9,Housing unit - Kovundampalayam
496,111A,10,Kavundampalayam
497,111A,11,Cheran Nagar - MTP rd
498,111A,12,ITI - MTP rd
499,111A,13,GN mills - MTP rd
500,111A,14,Vellakinar Pirivu - MTP rd
501,111A,15,Thudiyalur
502,111A,16,Cheran Colony
503,111A,17,Vellakinar
504,111A,18,KCT - Saravanampatti
505,111A,19,KGISL - Saravanampatti
506,111A,20,Saravanampatti
507,111A,21,Kalappatti Pirivu - Sathy rd
508,111A,22,Amman kovil - Saravanampatti
509,111A,23,SRP mill - Sathy rd
510,111A,24,Sivanandha mill - Sathy rd
511,111A,25,Ramakrishna mill - Sathy rd
512,111A,26,Bharathi nagar - Sathy rd
513,111A,27,Athipalayam Pirivu - Sathy rd
514,111A,28,CMS - Ganapathy
515,111A,29,Ganapathy
516,111A,30,Textool - Sathy rd
517,111A,31,Lakshmi puram - Sathy rd
518,111A,32,Omni bus stand




519,113,1,Ondipudur
520,113,2,Jai Shanthi - Singanallur
521,113,3,Vasantha mills - Singanallur
522,113,4,Singanallur
523,113,5,Varatharajapuram
524,113,6,ESI - Singanallur
525,113,7,LIONs - Singanallur
526,113,8,Ramanuja Nagar
527,113,9,Manis Theatre
528,113,10,Hope College
529,113,11,Varatharaja Mills
530,113,12,PSG Krishnammal
531,113,13,PSG Tech - Peelamedu
532,113,14,Suguna Kalyana Mandapam
533,113,15,Nava India - Avinashi rd
534,113,16,Lakshmi Mills Junction
535,113,17,Mani School/GKNM Hospl
536,113,18,Womens Polytechnic
537,113,19,Gandhipuram
538,113,20,100 feet/GP
539,113,21,Omni bus stand
540,113,22,Lakshmi puram - Sathy rd
541,113,23,Textool - Sathy rd
542,113,24,Ganapathy
543,113,25,CMS - Ganapathy
544,113,26,Athipalayam Pirivu - Sathy rd
545,113,27,Bharathi nagar - Sathy rd
546,113,28,Ramakrishna mill - Sathy rd
547,113,29,Sivanandha mill - Sathy rd
548,113,30,SRP mill - Sathy rd
549,113,31,Amman kovil - Saravanampatti
550,113,32,Kalappatti Pirivu - Sathy rd
551,113,33,Saravanampatti
552,113,34,Visuwasapuram/Sahara City



553,11A,1,Ukkadam
554,11A,2,BigBazaar
555,11A,3,Town Hall
556,11A,4,Government Hospital
557,11A,5,Railway Station
